,보호소이름,상세주소,주소,위도,경도
149,광주TNR동물병원초월,경기도 광주시 초월읍 현산로385번길 74-12 (초월읍) ,경기도 광주시 초월읍 현산로385번길 74-12 (초월읍) ,0.0,0.0
150,오산 유기동물보호소,경기도 오산시 성호대로 36 (오산동) ,경기도 오산시 성호대로 36 (오산동) ,0.0,0.0
151,오산 유기동물보호소,경기도 오산시 성호대로 36 (오산동) ,경기도 오산시 성호대로 36 (오산동) ,0.0,0.0
152,남양주시동물보호센터,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시 경강로163번길 32-27 (이패동) ,0.0,0.0
153,고양시동물보호센터,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터","경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",0.0,0.0
154,24시아이동물메디컬,경기도 부천시 오정구 소사로 779 (원종동) 201호,경기도 부천시 오정구 소사로 779 (원종동) 201호,0.0,0.0
155,펫앤쉘터동물병원,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합) ","경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합) ",0.0,0.0
156,광주 동물보호소,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,0.0,0.0
157,광주 동물보호소,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,0.0,0.0
158,가정동물병원,인천광역시 서구 가정로 346 (가정동) ,인천광역시 서구 가정로 346 (가정동) ,0.0,0.0
159,가정동물병원,인천광역시 서구 가정로 346 (가정동) ,인천광역시 서구 가정로 346 (가정동) ,0.0,0.0
160,군위종합동물병원,대구광역시 군위군 군위읍 중앙1길 15  1층,대구광역시 군위군 군위읍 중앙1길 15  1층,0.0,0.0
161,제니스동물병원,대구광역시 수성구 달구벌대로 2475 (범어동) ,대구광역시 수성구 달구벌대로 2475 (범어동) ,0.0,0.0
162,고성군유기동물보호소,경상남도 고성군 고성읍 남해안대로 2829-60  고성군농업기술센터 동물보호센터,경상남도 고성군 고성읍 남해안대로 2829-60  고성군농업기술센터 동물보호센터,0.0,0.0
163,남양동물보호센터,경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,0.0,0.0
164,울산유기동물보호센터,울산광역시 울주군 온양읍 화산발리로 543  ,울산광역시 울주군 온양읍 화산발리로 543  ,35.38144,129.28532
165,장성군동물보호센터,전라남도 장성군 삼서면 대중길 29-27  ,전라남도 장성군 삼서면 대중길 29-27  ,0.0,0.0
166,증평 가정견 훈련소,충청북도 증평군 도안면 입장길 239  ,충청북도 증평군 도안면 입장길 239  ,0.0,0.0
167,삼척시동물보호센터,강원도 삼척시 미로면 동안로 86-45  ,강원도 삼척시 미로면 동안로 86-45  ,37.4241195,129.1106255
168,삼척시동물보호센터,강원도 삼척시 미로면 동안로 86-45  ,강원도 삼척시 미로면 동안로 86-45  ,37.4241195,129.1106255
169,삼척시동물보호센터,강원도 삼척시 미로면 동안로 86-45  ,강원도 삼척시 미로면 동안로 86-45  ,37.4241195,129.1106255
170,대전동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,0.0,0.0
171,대전동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,0.0,0.0
172,대전동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,0.0,0.0
173,대전동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,0.0,0.0
174,대전동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,0.0,0.0
175,대전동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,0.0,0.0
176,신영재동물병원,인천광역시 계양구 장제로 923 (병방동) ,인천광역시 계양구 장제로 923 (병방동) ,0.0,0.0
177,횡성유기동물보호센터,강원도 원주시 호저면 칠봉로 110-6  ,강원도 원주시 호저면 칠봉로 110-6  ,37.4133886,127.9193008
178,의령군 동물보호센터,경상남도 의령군 의령읍 남강로 485-75  ,경상남도 의령군 의령읍 남강로 485-75  ,0.0,0.0
179,통영시동물보호센터,경상남도 통영시 광도면 전두1길 9-8  ,경상남도 통영시 광도면 전두1길 9-8  ,0.0,0.0
180,남부여동물보호소,충청남도 부여군 임천면 위덕로47번길 36-12  (점리),충청남도 부여군 임천면 위덕로47번길 36-12  (점리),0.0,0.0
181,아산동물복지지원센터,충청남도 아산시 환경공원로 158 (배미동) ,충청남도 아산시 환경공원로 158 (배미동) ,0.0,0.0
182,아산동물복지지원센터,충청남도 아산시 환경공원로 158 (배미동) ,충청남도 아산시 환경공원로 158 (배미동) ,0.0,0.0
183,보령시유기동물보호소,충청남도 보령시 녹문3길 7 (내항동) ,충청남도 보령시 녹문3길 7 (내항동) ,0.0,0.0
184,보령시유기동물보호소,충청남도 보령시 녹문3길 7 (내항동) ,충청남도 보령시 녹문3길 7 (내항동) ,0.0,0.0
185,괴산증평동물보호센터,충청북도 증평군 도안면 입장길 239 (도안면) ,충청북도 증평군 도안면 입장길 239 (도안면) ,0.0,0.0
186,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 양주시 남면 감악산로 63-37 (남면) ,0.0,0.0
187,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 양주시 남면 감악산로 63-37 (남면) ,0.0,0.0
188,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 양주시 남면 감악산로 63-37 (남면) ,0.0,0.0
189,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 양주시 남면 감악산로 63-37 (남면) ,0.0,0.0
190,용인시 동물보호센터,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,0.0,0.0
191,인천광역시수의사회,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ","인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",0.0,0.0
192,인천광역시수의사회,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ","인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",0.0,0.0
193,인천광역시수의사회,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ","인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",0.0,0.0
194,인천광역시수의사회,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ","인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",0.0,0.0
195,사단법인 동부,부산광역시 해운대구 송정2로13번길 46 (송정동) ,부산광역시 해운대구 송정2로13번길 46 (송정동) ,0.0,0.0
196,(사)동부동물보호협회,부산광역시 해운대구 송정2로13번길 46 (송정동) ,부산광역시 해운대구 송정2로13번길 46 (송정동) ,0.0,0.0
197,(사)동부동물보호협회,부산광역시 해운대구 송정2로13번길 46 (송정동) ,부산광역시 해운대구 송정2로13번길 46 (송정동) ,0.0,0.0
198,(사)동부동물보호협회,부산광역시 해운대구 송정2로13번길 46 (송정동) ,부산광역시 해운대구 송정2로13번길 46 (송정동) ,0.0,0.0
199,(사)동부동물보호협회,부산광역시 해운대구 송정동 85-1,부산광역시 해운대구 송정동 85-1,35.1836256,129.2021692
200,(사)동부동물보호협회,부산광역시 해운대구 송정동 85-1,부산광역시 해운대구 송정동 85-1,35.1836256,129.2021692
201,동물보호관리협회,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,0.0,0.0
202,동물보호관리협회,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,0.0,0.0
203,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
204,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
205,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
206,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
207,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
208,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
209,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
210,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
211,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
212,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
213,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
214,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
215,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
216,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
217,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
218,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
219,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
220,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
221,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
222,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
223,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
224,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
225,부산동물보호센터,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,0.0,0.0
226,한국동물구조관리협회,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 양주시 남면 감악산로 63-37 (남면) ,0.0,0.0
227,유기동물임시보호센터,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,0.0,0.0
228,유기동물임시보호센터,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,0.0,0.0
229,유기동물보호소,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소","전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",0.0,0.0
230,유기동물보호소,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소","전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",0.0,0.0
231,유기동물보호소,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소","전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",0.0,0.0
232,제주 동물보호센터,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,0.0,0.0
233,제주 동물보호센터,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,0.0,0.0
234,제주 동물보호센터,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,0.0,0.0
235,제주 동물보호센터,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,0.0,0.0
236,제주 동물보호센터,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,0.0,0.0
237,제주 동물보호센터,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,0.0,0.0
238,제주 동물보호센터,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,0.0,0.0
239,제주 동물보호센터,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,0.0,0.0
240,제주 동물보호센터,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,0.0,0.0
241,신안군유기동물보호소,전라남도 무안군 삼향읍 석매길 21-3  ,전라남도 무안군 삼향읍 석매길 21-3  ,0.0,0.0
242,신안군유기동물보호소,전라남도 무안군 삼향읍 석매길 21-3  ,전라남도 무안군 삼향읍 석매길 21-3  ,0.0,0.0
243,신안군유기동물보호소,전라남도 무안군 삼향읍 석매길 21-3  ,전라남도 무안군 삼향읍 석매길 21-3  ,0.0,0.0
